Ions	Strain	Values	SE	Top_annotation_name
3	Lhel	-2.930648534	0.730369386	Potassium_acetate
3	Lmel	-2.216016451	0.392191373	Potassium_acetate
3	Lapi	-2.524280068	0.490731368	Potassium_acetate
3	Lkul	-3.194354128	0.322282788	Potassium_acetate
4	Lhel	-1.195899312	0.079051205	Acetate;_Glycolaldehyde
4	Lmel	-0.916953527	0.103332755	Acetate;_Glycolaldehyde
4	Lapi	-0.951179539	0.110536546	Acetate;_Glycolaldehyde
4	Lkul	-1.114917729	0.108716971	Acetate;_Glycolaldehyde
5	Lhel	-2.199724103	0.29863898	3-Butyn-1-al;_Furan
5	Lmel	-1.574429537	0.333448069	3-Butyn-1-al;_Furan
5	Lapi	-0.215569172	0.18733706	3-Butyn-1-al;_Furan
5	Lkul	-1.968794844	0.376755842	3-Butyn-1-al;_Furan
8	Lhel	-1.882326125	0.105398859	Acrylic_acid;_Methylglyoxal;_Glycidaldehyde;_Propiolactone;_Malonaldehyde
8	Lmel	-1.560596069	0.178958489	Acrylic_acid;_Methylglyoxal;_Glycidaldehyde;_Propiolactone;_Malonaldehyde
8	Lapi	-1.556771975	0.231619615	Acrylic_acid;_Methylglyoxal;_Glycidaldehyde;_Propiolactone;_Malonaldehyde
8	Lkul	-1.754417848	0.141322969	Acrylic_acid;_Methylglyoxal;_Glycidaldehyde;_Propiolactone;_Malonaldehyde
10	Lhel	1.615178694	0.553588442	"Aminoacetone;_Acetone_oxime;_N,N-Dimethylformamide;_3-Aminopropanal"
10	Lmel	2.312618675	0.263658466	"Aminoacetone;_Acetone_oxime;_N,N-Dimethylformamide;_3-Aminopropanal"
10	Lapi	1.663783447	0.414690134	"Aminoacetone;_Acetone_oxime;_N,N-Dimethylformamide;_3-Aminopropanal"
10	Lkul	2.715366349	0.252087075	"Aminoacetone;_Acetone_oxime;_N,N-Dimethylformamide;_3-Aminopropanal"
15	Lhel	-0.990582999	0.189835573	4-Hydroxy-2-butynal;_3-Butynoate;_2(5H)-Furanone;_2(3H)-Furanone
15	Lmel	-0.981032799	0.116955091	4-Hydroxy-2-butynal;_3-Butynoate;_2(5H)-Furanone;_2(3H)-Furanone
15	Lapi	-0.847364135	0.138400917	4-Hydroxy-2-butynal;_3-Butynoate;_2(5H)-Furanone;_2(3H)-Furanone
15	Lkul	-1.145215472	0.174012616	4-Hydroxy-2-butynal;_3-Butynoate;_2(5H)-Furanone;_2(3H)-Furanone
16	Lhel	-2.05790203	0.12665678	"Diacetyl;_gamma-Butyrolactone;_2-Butenoate;_2-Butyne-1,4-diol;_Cyclopropane..."
16	Lmel	-1.302570191	0.174950783	"Diacetyl;_gamma-Butyrolactone;_2-Butenoate;_2-Butyne-1,4-diol;_Cyclopropane..."
16	Lapi	-1.370984353	0.141957657	"Diacetyl;_gamma-Butyrolactone;_2-Butenoate;_2-Butyne-1,4-diol;_Cyclopropane..."
16	Lkul	-1.874179067	0.138827074	"Diacetyl;_gamma-Butyrolactone;_2-Butenoate;_2-Butyne-1,4-diol;_Cyclopropane..."
17	Lhel	1.732570933	0.498206565	Prenol;_Pentan-2-one;_Cyclopentanol;_2-Methylbutanal;_3-Methylbutanal
17	Lmel	3.229877445	0.463829474	Prenol;_Pentan-2-one;_Cyclopentanol;_2-Methylbutanal;_3-Methylbutanal
17	Lapi	3.017425247	0.294447848	Prenol;_Pentan-2-one;_Cyclopentanol;_2-Methylbutanal;_3-Methylbutanal
17	Lkul	3.387777397	0.540650433	Prenol;_Pentan-2-one;_Cyclopentanol;_2-Methylbutanal;_3-Methylbutanal
20	Lhel	3.982315594	0.278133457	Glycerone;_(S)-Lactate;_(R)-Lactate;_D-Glyceraldehyde;_3-Hydroxypropanoate;...
20	Lmel	3.613457739	0.14687711	Glycerone;_(S)-Lactate;_(R)-Lactate;_D-Glyceraldehyde;_3-Hydroxypropanoate;...
20	Lapi	4.198422132	0.148637076	Glycerone;_(S)-Lactate;_(R)-Lactate;_D-Glyceraldehyde;_3-Hydroxypropanoate;...
20	Lkul	3.855286612	0.325191414	Glycerone;_(S)-Lactate;_(R)-Lactate;_D-Glyceraldehyde;_3-Hydroxypropanoate;...
37	Lhel	1.113965576	0.103069403	Cytosine
37	Lmel	1.108588442	0.078078291	Cytosine
37	Lapi	1.236842079	0.132588813	Cytosine
37	Lkul	0.83827298	0.122800925	Cytosine
39	Lhel	-2.025949463	0.07584054	2-Furoate
39	Lmel	-1.332710374	0.544652592	2-Furoate
39	Lapi	0.152385953	0.066327498	2-Furoate
39	Lkul	-1.923731156	0.091084572	2-Furoate
43	Lhel	-2.147231162	0.089314095	"2-Hydroxy-2,4-pentadienoate;_cis-Acetylacrylate"
43	Lmel	-1.56255232	0.215603142	"2-Hydroxy-2,4-pentadienoate;_cis-Acetylacrylate"
43	Lapi	-1.772619613	0.143769737	"2-Hydroxy-2,4-pentadienoate;_cis-Acetylacrylate"
43	Lkul	-2.026256652	0.099982537	"2-Hydroxy-2,4-pentadienoate;_cis-Acetylacrylate"
