ion	r_sq.data_pollen.	log2FC_PE1X_H20
1	0.9711822	3.952083156
2	0.959490196	3.575023797
3	0.799028898	4.081892342
4	0.970967848	3.885213761
5	0.962057071	4.602449561
6	0.951807056	2.486596612
7	0.95550146	4.729039608
8	0.943806877	4.861566337
9	0.855241273	3.628239052
10	0.479917232	1.361871358
11	0.972626116	3.664898642
12	0.962301944	3.932438454
13	0.753086608	2.744351213
14	0.948597883	4.917034478
15	0.953999675	4.333036677
16	0.976888024	4.446712465
17	0.674368574	1.388867448
18	0.941151773	4.010049499
19	0.879325492	3.633490803
20	0.765259486	2.729047095
21	0.788903314	0.756421149
22	0.842243605	1.257535819
23	-0.004319918	0.121128469
24	0.74451203	0.697753256
25	-0.020715624	0.062955774
26	0.512119043	-0.415028177
27	0.94907082	3.997005469
28	0.901457963	4.23041393
29	0.95465786	3.887505785
30	0.546043397	-1.317134907
31	0.836826579	0.904232311
32	0.724923769	1.280389786
33	0.634427842	0.656739656
34	0.862423242	1.613471936
35	0.636605542	1.496363742
36	0.874339474	2.368805957
37	0.804347215	2.02448862
38	0.818663197	1.992975256
39	0.97157326	4.459446185
40	0.941408544	3.38737996
41	0.910034998	2.056660651
42	0.261399274	0.431775707
43	0.957418474	4.578789989
44	0.971146567	4.720486395
45	0.959848073	4.994489878
46	0.938596705	4.570056836
47	0.930830267	3.727942985
48	0.91784088	1.338374501
49	0.93747286	2.006433514
50	0.520039994	1.482897707
51	0.641139412	1.838669683
52	0.835080278	2.762510192
53	0.858003164	2.654752162
54	0.854824608	3.654520749
55	0.880546567	3.942911347
56	0.931033948	3.754109577
57	0.68840413	1.131753309
58	0.854831342	1.420670587
59	0.835458991	1.371310818
60	0.919170423	1.641848953
61	0.106286747	-0.288070485
62	0.900101542	1.82248016
63	0.788217106	1.243919193
64	0.951511593	2.028041493
65	0.288726365	-0.124359729
66	0.719908165	0.954097316
67	0.8248531	1.537444727
68	0.859621007	1.049655639
69	0.54999894	1.605442239
70	0.113875937	-0.337049515
71	0.189495375	0.854188626
72	0.953270186	3.967996202
73	0.963211325	5.217003873
74	0.660020814	-0.247353156
75	0.560739803	1.050675668
76	0.117479504	0.511579079
77	0.958361873	4.801149732
78	0.975282331	6.498303394
79	0.810791856	2.629269512
80	0.69288015	2.407241432
81	0.908521582	4.972805728
82	0.960673942	5.024487442
83	0.824136696	4.122789813
84	0.674483467	2.103744609
85	0.934539076	4.478690656
86	-0.027082307	0.204246669
87	0.827462529	1.437912151
88	0.828452393	1.806344393
89	0.54574317	1.211999375
90	0.065448889	-0.056279786
91	0.727088594	0.713576323
92	0.026327329	0.232332121
93	0.350870431	0.438230106
94	0.344758237	0.65446619
95	0.12999902	-0.125184125
96	0.872276302	1.903114072
97	0.92558551	2.443203875
98	0.957882643	3.989611747
99	0.550339874	0.217565535
100	0.632744812	0.628327609
101	0.884213124	1.029706872
102	0.843451138	2.023781084
103	0.892617424	2.158131667
104	0.963549644	4.123946744
105	0.881325641	1.958954918
106	0.899538618	1.961701456
107	0.902049101	1.31887958
108	0.936831602	4.908707334
109	0.629922656	1.991836282
110	0.140622212	-0.252736337
111	0.655356366	2.846940063
112	0.935522852	3.561934173
113	0.824329125	2.668949034
114	-0.011693404	0.164791988
115	0.752245899	2.589911885
116	0.932660285	3.674891428
117	0.952822116	3.301742329
118	0.883992204	3.954959973
119	0.972241456	4.624327037
120	0.884040296	0.970722797
121	0.377693183	-0.255199709
122	0.882696317	3.689875032
123	0.895793439	3.600739997
124	0.955406372	4.587116166
125	0.871596557	2.787366386
126	0.963509126	3.053557235
127	0.709900961	1.251115437
128	0.843467389	2.188860048
129	0.88037598	2.812899721
130	0.979617013	6.651268966
131	0.971208471	6.097445471
132	0.934353451	2.577617816
133	0.946058036	1.990252894
134	0.885787332	2.779259797
135	0.883246563	2.134587188
136	0.962164209	3.797544146
137	0.631449512	0.730350962
138	0.722704814	0.675425116
139	0.646473048	0.823496882
140	0.173379509	-0.14560517
141	0.764625187	-0.557119673
142	0.017864956	0.021513864
143	0.898853797	2.513220016
144	0.215294939	0.814327287
145	0.736422817	1.247661792
146	0.960644592	3.912161949
147	0.531365683	-0.068258689
148	0.810400654	2.245189246
149	0.888175975	1.418107721
150	0.562658059	0.947671926
151	0.893746635	3.485348348
152	0.969888204	3.9249849
153	0.504078118	1.349695991
154	0.65780106	0.746272275
155	0.737878066	1.672917494
156	0.92373292	2.456552119
157	0.956530289	2.526401385
158	0.696851866	0.330408084
159	0.008591874	-0.728041615
160	0.836866194	2.994172628
161	0.943901857	5.415665538
162	0.651269211	2.372264687
163	0.948408702	2.287338571
164	0.8151047	2.62624179
165	0.701569924	0.987021135
166	0.952603975	3.596944905
167	0.721361751	1.121175194
168	0.879091247	2.483861953
169	0.159521454	0.257865101
170	0.266023595	0.830379436
171	-0.020834975	-0.034983197
172	0.735142071	2.010225555
173	0.95138734	3.887291315
174	0.963037017	3.244240504
175	0.939862786	2.361859398
176	0.631469327	1.301057823
177	0.011196132	0.145242504
178	0.369643945	0.360764868
179	0.031704656	0.45052404
180	0.808054126	1.826505108
181	0.975642028	6.918300553
182	-0.014887278	1.600564381
183	0.492862652	0.423722489
184	0.154539694	0.14205351
185	0.957232102	4.546762442
186	0.673914969	2.855642158
187	0.360507694	1.410967962
188	0.97310651	5.432674641
189	0.647124685	2.112139987
190	0.888565378	3.302991258
191	0.736322771	1.289575467
192	0.959467953	4.829130128
193	-0.024081316	1.099942432
194	0.895410805	1.58006643
195	0.506935017	1.168031514
196	0.968226578	4.426458376
197	0.858372008	1.727385097
198	0.929699597	4.009914481
199	0.815553571	1.618153028
200	0.724478518	1.004282039
201	-0.029316504	0.800121121
202	0.21558928	0.599519471
203	-0.028359952	0.41734766
204	0.90335409	1.338716211
205	0.98005646	5.311047832
206	0.894394175	3.535283814
207	0.373149081	0.667280798
208	0.976724856	4.021874405
209	0.633427721	1.078941524
210	0.833850465	2.67464662
211	0.167966558	-0.274260821
212	0.944648505	2.279625376
213	0.908676841	1.470656243
214	0.41260058	0.685169323
215	0.899833268	1.029715733
216	0.428828921	-0.114087727
217	0.842833995	3.384184643
218	0.89465501	2.668488812
219	0.931418256	2.386096894
220	0.504332487	1.759318776
221	0.712077201	-0.822387203
222	0.981908127	5.619571888
223	0.045503923	0.574106747
224	0.842886729	1.835991789
225	0.752861974	2.792348577
226	0.804746412	1.470137808
227	0.57123334	1.200394998
228	0.885954357	4.393859551
229	0.944096043	4.301951052
230	0.807282903	2.946264834
231	0.927650678	4.160368373
232	0.950680077	3.834060266
233	0.81822683	2.335934816
234	0.702382882	2.14643154
235	0.320419689	0.971526932
236	0.939381271	3.733125362
237	0.896904548	2.877658822
238	0.959556293	4.887901443
239	0.882163599	2.86537987
240	0.93381895	5.40165791
241	0.897347977	2.512445226
242	0.968155162	6.055947417
243	0.9566501	4.280502512
244	0.820389182	1.919578535
245	0.526638266	1.635003618
246	0.919057026	5.145165151
247	0.963919311	8.022685066
248	0.984234651	9.158580681
249	0.734433237	0.540608442
250	0.88044764	0.865376033
251	0.903414312	4.652631908
252	0.765500073	3.842804467
253	0.935053081	3.114546412
254	0.876260534	3.118625704
255	0.054660098	0.358953762
256	0.713586692	-0.641930594
257	0.005440973	0.062479599
258	0.790999907	1.801885969
259	0.815078842	2.28683988
260	0.758397438	1.168055851
261	0.944850622	2.628557329
262	0.919665921	3.928150059
263	0.973953372	3.836527279
264	0.813904925	2.27208007
265	0.229128723	0.067511568
266	0.939489961	5.119320574
267	0.966118222	2.646766866
268	0.92326552	3.641393364
269	0.713774153	1.538741503
270	0.861526436	-1.318551333
271	0.085771905	0.565292148
272	-0.015757408	0.15111666
273	0.972364182	5.633473735
274	0.771347851	1.91855377
275	0.983276491	6.101382685
276	0.930892408	2.697924211
277	0.773255899	1.626211406
278	0.775134612	2.567857235
279	0.932709932	3.752797608
280	0.977880202	2.644458155
281	0.924509141	2.847556135
282	0.967382661	4.474784711
283	0.592971609	0.936580841
284	0.159388752	0.277877528
285	0.952470344	4.321934657
286	0.730438706	2.311304724
287	0.339115634	-0.232820504
288	0.89722145	4.047422218
289	0.882333244	2.546349879
290	0.776535836	1.796735555
291	0.906278615	3.407041923
292	0.751575417	2.013577657
293	0.80025827	3.078557541
294	0.753099728	2.686963952
295	0.594035524	0.5889866
296	0.092592765	0.274788585
297	0.908034716	1.365072243
298	0.921060932	3.023246382
299	0.886295861	2.575810759
300	0.922534305	3.624237346
301	0.863004378	2.647603111
302	0.877699813	1.045118108
303	0.911668806	2.457457559
304	0.878233612	2.013435622
305	0.257419072	-0.304657103
306	0.973135859	4.885684984
307	0.949268194	2.303771124
308	0.458799896	0.860423369
309	0.115526828	0.133680434
310	0.655527368	0.335664643
311	0.97516594	2.372311848
312	0.959213699	2.661886096
313	0.911502558	1.232626492
314	0.676462935	0.653999739
315	0.933963276	3.312839898
316	0.833371791	2.006816797
317	0.829786178	1.972436451
318	0.730706317	1.03097093
319	-0.029300697	0.055957435
320	0.260693318	-0.351007596
321	0.980547973	6.242533285
322	0.931626364	3.920836442
323	0.83979953	2.660734693
324	0.552685947	1.625572176
325	0.010934134	0.015936816
326	0.715234035	-0.516984069
327	0.825709429	3.510257279
328	0.932852225	3.481277275
329	0.812337803	3.273738602
330	0.942582445	2.420140047
331	0.950646984	2.873882798
332	0.943394095	2.382916774
333	0.829382508	2.297661315
334	0.66226229	-0.769771185
335	0.802132187	3.175805828
336	0.969953337	5.767168759
337	0.843088007	2.625573563
338	0.914989216	5.319131418
339	0.880437216	1.505330644
340	0.836785949	1.105891855
341	0.873923401	2.98233618
342	0.593676614	1.592494804
343	0.971748374	3.60580021
344	0.96635793	5.241152839
345	0.947061228	2.827525932
346	0.781670542	1.365393329
347	0.764501909	2.769620097
348	0.736491981	2.433920736
349	0.981511359	5.363933306
