ionIdx	ionMz		246 / F5_261_PE_T16_4_F5_261_PE	247 / F5_261_PE_T16_3_F5_261_PE	248 / F5_261_PE_T16_3_F5_261_PE	249 / F5_352_PE_T16_1_F5_352_PE	250 / F5_352_PE_T16_1_F5_352_PE	251 / F5_260_PE_T16_4_F5_260_PE	252 / F5_260_PE_T16_4_F5_260_PE	253 / F5_259_PE_T16_2_F5_259_PE	254 / F5_259_PE_T16_2_F5_259_PE	255 / F5_263_PE_T16_4_F5_263_PE	256 / F5_263_PE_T16_4_F5_263_PE	257 / Neg_PE_T16_1_no_PE	258 / Neg_PE_T16_1_no_PE	259 / F5_353_PE_T16_4_F5_353_PE	260 / F5_353_PE_T16_4_F5_353_PE	261 / cfMRS_4_no_no	262 / cfMRS_4_no_no	263 / F5_350_PE_T16_2_F5_350_PE	264 / F5_350_PE_T16_2_F5_350_PE	265 / F5_261_PE_T16_1_F5_261_PE	266 / F5_261_PE_T16_1_F5_261_PE	267 / F5_350_PE_T16_1_F5_350_PE	268 / F5_350_PE_T16_1_F5_350_PE	269 / F5_260_PE_T16_3_F5_260_PE	270 / F5_260_PE_T16_3_F5_260_PE	271 / F5_354_PE_T16_5_F5_354_PE	272 / F5_354_PE_T16_5_F5_354_PE	273 / Neg_PE_T16_3_no_PE	274 / Neg_PE_T16_3_no_PE	275 / Neg_PE_T16_2_no_PE	276 / Neg_PE_T16_2_no_PE	277 / F5_354_PE_T16_4_F5_354_PE	278 / F5_354_PE_T16_4_F5_354_PE	279 / F5_260_PE_T16_1_F5_260_PE	280 / F5_260_PE_T16_1_F5_260_PE	281 / F5_353_PE_T16_1_F5_353_PE	282 / F5_353_PE_T16_1_F5_353_PE	283 / F5_261_PE_T16_2_F5_261_PE	284 / F5_261_PE_T16_2_F5_261_PE	285 / F5_263_PE_T16_1_F5_263_PE	286 / F5_263_PE_T16_1_F5_263_PE	287 / F5_259_PE_T16_5_F5_259_PE	288 / F5_259_PE_T16_5_F5_259_PE	289 / F5_259_PE_T16_4_F5_259_PE	290 / F5_259_PE_T16_4_F5_259_PE	291 / F5_261_PE_T16_5_F5_261_PE	292 / F5_261_PE_T16_5_F5_261_PE	293 / F5_262_PE_T16_5_F5_262_PE	294 / F5_262_PE_T16_5_F5_262_PE	295 / cfMRS_5_no_no	296 / cfMRS_5_no_no	297 / F5_352_PE_T16_4_F5_352_PE	298 / F5_352_PE_T16_4_F5_352_PE	299 / F5_353_PE_T16_5_F5_353_PE	300 / F5_353_PE_T16_5_F5_353_PE	301 / F5_352_PE_T16_3_F5_352_PE	302 / F5_352_PE_T16_3_F5_352_PE	303 / F5_260_PE_T16_5_F5_260_PE	304 / F5_260_PE_T16_5_F5_260_PE	305 / F5_354_PE_T16_2_F5_354_PE	306 / F5_354_PE_T16_2_F5_354_PE	307 / F5_351_PE_T16_1_F5_351_PE	308 / F5_351_PE_T16_1_F5_351_PE	309 / cfMRS_1_no_no	310 / cfMRS_1_no_no	311 / PE_C_256X_pollen_dilution_series_no	312 / PE_C_256X_pollen_dilution_series_no	313 / H2O_B_3_no_no	314 / H2O_B_3_no_no	315 / H2O_B_4_no_no	316 / H2O_B_4_no_no	317 / H2O_A_3_no_no	318 / H2O_A_3_no_no	319 / PE_C_4X_pollen_dilution_series_no	320 / PE_C_4X_pollen_dilution_series_no	321 / PE_B_1X_pollen_dilution_series_no	322 / PE_B_1X_pollen_dilution_series_no	323 / PE_A_32X_pollen_dilution_series_no	324 / PE_A_32X_pollen_dilution_series_no	325 / PE_C_2048X_pollen_dilution_series_no	326 / PE_C_2048X_pollen_dilution_series_no	327 / H2O_A_1_no_no	328 / H2O_A_1_no_no	329 / PE_A_2X_pollen_dilution_series_no	330 / PE_A_2X_pollen_dilution_series_no	331 / PE_A_512X_pollen_dilution_series_no	332 / PE_A_512X_pollen_dilution_series_no	333 / PE_B_4X_pollen_dilution_series_no	334 / PE_B_4X_pollen_dilution_series_no	335 / PE_B_32X_pollen_dilution_series_no	336 / PE_B_32X_pollen_dilution_series_no	337 / PE_C_64X_pollen_dilution_series_no	338 / PE_C_64X_pollen_dilution_series_no	339 / PE_B_256X_pollen_dilution_series_no	340 / PE_B_256X_pollen_dilution_series_no	341 / PE_B_64X_pollen_dilution_series_no	342 / PE_B_64X_pollen_dilution_series_no	343 / PE_C_1024X_pollen_dilution_series_no	344 / PE_C_1024X_pollen_dilution_series_no	345 / H2O_B_5_no_no	346 / H2O_B_5_no_no	347 / PE_C_1X_pollen_dilution_series_no	348 / PE_C_1X_pollen_dilution_series_no	349 / PE_A_4X_pollen_dilution_series_no	350 / PE_A_4X_pollen_dilution_series_no	351 / PE_A_256X_pollen_dilution_series_no	352 / PE_A_256X_pollen_dilution_series_no	353 / PE_B_8X_pollen_dilution_series_no	354 / PE_B_8X_pollen_dilution_series_no	355 / H2O_C_2_no_no	356 / H2O_C_2_no_no	357 / H2O_A_2_no_no	358 / H2O_A_2_no_no	359 / PE_C_512X_pollen_dilution_series_no	360 / PE_C_512X_pollen_dilution_series_no	361 / PE_A_1024X_pollen_dilution_series_no	362 / PE_A_1024X_pollen_dilution_series_no	363 / PE_A_8X_pollen_dilution_series_no	364 / PE_A_8X_pollen_dilution_series_no	365 / H2O_A_5_no_no	366 / H2O_A_5_no_no	367 / PE_A_2048X_pollen_dilution_series_no	368 / PE_A_2048X_pollen_dilution_series_no	369 / H2O_B_6_no_no	370 / H2O_B_6_no_no	371 / H2O_C_6_no_no	372 / H2O_C_6_no_no	373 / PE_B_16X_pollen_dilution_series_no	374 / PE_B_16X_pollen_dilution_series_no	375 / PE_C_2X_pollen_dilution_series_no	376 / PE_C_2X_pollen_dilution_series_no	377 / PE_B_2X_pollen_dilution_series_no	378 / PE_B_2X_pollen_dilution_series_no	379 / PE_C_128X_pollen_dilution_series_no	380 / PE_C_128X_pollen_dilution_series_no	381 / H2O_A_4_no_no	382 / H2O_A_4_no_no	383 / PE_B_128X_pollen_dilution_series_no	384 / PE_B_128X_pollen_dilution_series_no	385 / H2O_B_2_no_no	386 / H2O_B_2_no_no	387 / PE_A_128X_pollen_dilution_series_no	388 / PE_A_128X_pollen_dilution_series_no	389 / H2O_C_1_no_no	390 / H2O_C_1_no_no	391 / PE_A_1X_pollen_dilution_series_no	392 / PE_A_1X_pollen_dilution_series_no	393 / H2O_A_6_no_no	394 / H2O_A_6_no_no	395 / H2O_B_1_no_no	396 / H2O_B_1_no_no	397 / H2O_C_4_no_no	398 / H2O_C_4_no_no	399 / PE_B_2048X_pollen_dilution_series_no	400 / PE_B_2048X_pollen_dilution_series_no	401 / PE_C_32X_pollen_dilution_series_no	402 / PE_C_32X_pollen_dilution_series_no	403 / H2O_C_3_no_no	404 / H2O_C_3_no_no	405 / PE_B_512X_pollen_dilution_series_no	406 / PE_B_512X_pollen_dilution_series_no	407 / PE_A_64X_pollen_dilution_series_no	408 / PE_A_64X_pollen_dilution_series_no	409 / PE_C_16X_pollen_dilution_series_no	410 / PE_C_16X_pollen_dilution_series_no	411 / PE_C_8X_pollen_dilution_series_no	412 / PE_C_8X_pollen_dilution_series_no	413 / H2O_C_5_no_no	414 / H2O_C_5_no_no	415 / PE_A_16X_pollen_dilution_series_no	416 / PE_A_16X_pollen_dilution_series_no	417 / PE_B_1024X_pollen_dilution_series_no	418 / PE_B_1024X_pollen_dilution_series_no
1	55.0186		4442	5316	4850	3723	4908	4238	5638	4940	3744	4461	5033	9453	9622	5946	5275	3108	4920	3556	5029	5572	4269	4289	5192	5754	4967	3542	4368	7918	7157	7347	6099	7586	7384	4923	5385	4047	4416	4571	5011	5328	4506	4757	5221	5315	5716	5137	4665	4097	4398	3509	3077	5213	5333	4096	6554	4206	4823	4283	5383	5034	4695	5208	6539	2820	4495	3029	3180	1088	1677	1640	1165	1044	1058	18039	15936	24457	29065	9926	8662	2603	2508	2640	2202	22331	23152	3056	3326	17836	18516	6734	7844	3741	4331	2669	3723	4065	5708	1795	1982	1769	1671	30621	24660	18665	21834	4620	3955	13296	14949	1809	1577	2032	2083	2386	2229	2231	1954	14846	15770	1714	2349	2321	1767	1339	1172	1240	1765	9942	11494	21536	22021	23283	24622	4798	3804	1994	1809	4010	4040	2817	1412	4373	3201	1449	1434	26842	28884	4002	4248	2875	2153	929	1306	1826	1758	7958	8408	1284	769	3175	2887	6119	5318	10694	10133	11972	10255	928	1339	7880	12189	2313	2170
2	57.0343		14141	13804	13964	15960	12551	13532	16589	13219	13779	14019	13686	16642	18856	13529	12167	6261	7408	14623	13642	12148	12970	12253	14122	13687	14917	13113	16339	18586	16778	17120	17262	21226	20892	14182	16396	14736	13850	12582	10941	14546	13430	13061	13889	14074	13643	16684	11092	12909	13881	6669	6740	14000	14740	13481	14092	10763	16450	13751	13996	12748	11033	15302	16087	5275	6015	8074	9498	7578	7762	6045	5739	7414	6881	63739	58435	100368	101697	25950	28707	8937	8504	8186	7324	87075	83842	14827	12952	61119	58656	23153	26166	16203	17133	12403	13329	17484	18337	9297	8407	9028	8560	105891	106873	65941	66539	17053	14763	47013	49389	8625	9293	7556	8770	7668	9948	7618	10045	49704	49486	9225	6548	8163	8206	8111	8520	7510	6438	33961	33430	85838	82885	84599	86231	19947	13664	9360	9627	14125	17517	8668	8954	16000	14384	9365	6443	100971	99149	18148	14443	11025	10981	6286	9158	8800	8825	24863	22518	7252	8103	9271	10207	14734	15697	32803	30678	40801	43890	7297	9377	33456	31318	7767	8479
3	58.0057		227	869	411	1139	1261	359	453	532	445	639	584	4760	5010	868	683	161	260	430	596	248	383	326	816	603	562	617	642	4736	2479	6009	4494	4591	5643	1098	614	1236	639	385	314	187	475	462	905	787	435	143	364	288	107	336	414	693	837	629	855	1507	1043	965	279	860	751	917	1401	253	146	1874	1061	449	444	113	79	630	108	25363	25996	21338	18333	18352	18867	3130	2569	660	759	24179	22007	5945	5092	25324	26884	16309	17691	10972	11371	3662	3446	10345	8732	1946	1527	1053	1029	19117	20816	23102	22329	7438	6294	27602	29078	1452	1893	525	1030	1633	2634	1873	972	26768	25737	1228	1427	518	627	676	474	1130	643	26394	23775	24689	23869	20993	25129	9444	8744	2065	1719	7371	6706	1438	705	5975	7952	986	713	23295	19797	5745	4543	2181	1081	1079	1706	1169	1647	18437	18305	840	239	2226	2748	10537	9350	22343	22602	25846	24356	1638	992	24762	21312	1321	1884
4	59.0135		67024	66115	69251	84534	79766	64057	63595	66628	70809	75123	61928	164830	165301	105169	102121	127050	128888	69511	74671	75882	70154	67205	75329	72790	75046	75944	76450	176353	171710	169289	179521	127383	124886	71138	69742	91626	103081	64605	70823	71569	68244	68261	62648	70664	65720	65810	75544	70980	74321	110973	121460	84652	82404	97683	106120	82806	92013	68353	69143	85441	82425	103898	117883	137403	129549	34376	33973	17710	19264	17118	12788	13087	14812	251227	260332	303880	318885	137058	123867	24202	22750	14031	15342	286271	296976	44970	36255	258152	251384	117765	129759	77757	76197	35629	34783	77010	70541	22887	23355	20252	19710	322246	323317	269214	279409	45836	49694	222818	220530	27570	25118	18404	17581	29827	35223	20645	22127	236427	224853	26502	23987	20319	19816	16090	18703	16519	19475	165436	168049	298357	311809	290100	308797	79213	67981	23985	25398	55512	58778	18909	21674	52749	55240	16222	16425	327556	326410	62837	53603	23939	23924	22588	21196	23852	22800	122777	119050	18076	16668	27679	29478	73718	76847	153429	156743	215386	219499	20336	20715	162095	184084	24700	23645
5	67.0186		1376	1750	709	1996	1701	895	1038	1253	1538	1189	2440	5295	6437	5887	4235	2583	2437	1606	1049	1245	709	1221	943	726	1172	806	908	6465	5324	4698	7365	1539	1338	1901	1383	5961	3948	1165	1513	1581	743	1456	877	1180	1493	985	1265	1084	1352	1425	2322	1329	724	5090	6299	343	1354	1111	1051	789	972	850	1057	2154	1591	1841	3022	1543	1171	1506	746	1252	475	19421	22570	32064	32037	11639	8860	1119	1660	525	1994	23104	26569	3628	2264	20042	22632	8250	8646	5247	4379	1783	2705	5062	4644	1434	809	1289	1052	28940	32254	24836	23696	2908	3153	16026	18464	1440	1676	1536	977	1458	1522	1212	1610	16508	15523	1982	1676	814	879	726	1070	1628	1193	13417	10673	23342	25562	28748	26722	5088	4559	999	1917	3653	3208	812	1165	2206	2824	1069	707	33862	32909	2766	3754	1217	1259	1015	752	2420	1408	8544	8946	687	957	1515	1518	5232	3936	12391	13528	15151	16983	1142	1763	9905	12225	1453	1035
6	69.0343		5511	3470	3639	5307	3943	4491	4594	4175	5293	3990	5560	6650	5725	3360	5260	1377	3438	3898	5293	4003	3578	4932	3291	4686	4309	4300	5183	5253	5378	6218	6694	7237	7302	3866	4210	5339	5083	3943	4725	5028	4602	6260	5439	3860	4811	4639	5169	3896	3428	2163	1707	4223	4086	4944	3745	3091	4333	3938	3733	4810	4592	4106	4293	2004	2636	3455	5238	4880	3916	2609	2998	2618	3921	15655	12294	20549	24302	9076	9659	4000	3470	2131	4315	17072	20021	5708	4874	15279	15162	9253	10523	5448	7058	3305	3990	7817	6762	2099	4090	3449	3568	22048	20906	16074	17644	4635	5671	13733	14335	3544	5758	4277	3412	4541	4404	3695	3980	12547	13748	3950	4517	2602	3628	2738	2882	2975	2964	10452	10498	21072	17330	18774	21112	8783	6887	4755	4352	5367	5729	4608	3231	5104	7221	2375	3482	19006	22738	6101	6332	4545	4076	5478	3779	3039	2501	8458	9748	3326	3907	4341	5895	4579	5231	9725	8630	12574	11980	2556	4365	10218	11120	4019	3768
7	70.0297		4496	4740	7400	5630	6581	4839	4480	4766	6636	5351	5081	7859	7160	6450	5287	5610	5085	5832	6019	4356	4924	5335	5696	4180	6450	5586	6500	6835	6272	5753	5763	5630	5721	6846	5978	6361	5356	5918	6120	4204	4654	5840	5789	5699	5011	5104	6638	6525	4777	6088	5560	5260	5457	5668	5757	7240	5709	4441	3951	4695	6493	5622	5796	6527	5045	861	1015	623	456	839	775	629	289	7685	7201	12569	11072	2310	3247	431	110	566	576	9734	12629	439	910	8516	9071	2284	1415	1455	1280	725	417	1577	1398	332	570	842	556	12226	13472	6435	9336	323	718	4616	5785	707	493	218	673	429	362	241	547	4917	7152	282	363	285	266	122	335	566	312	2863	3104	10870	9564	11480	11649	1216	1420	494	527	65	737	237	369	730	518	480	655	15144	13430	844	582	760	439	382	253	109	457	1668	2405	390	647	415	914	1104	684	2708	3172	4955	5439	54	292	4476	3426	528	351
8	71.0137		24205	23665	26954	37126	38672	25318	29754	31274	28889	27442	29862	103130	113103	34586	37907	16809	16350	27662	26596	26796	27749	31699	30038	25420	27091	28817	27848	113030	105449	112154	116017	102749	107003	26938	27787	32500	36173	25601	28742	27751	27703	24735	29281	25751	28247	24927	28316	25916	25670	17733	17447	38963	33264	33385	37966	39931	43646	27101	25145	36088	33068	41088	43642	15954	18048	26991	28231	4382	6559	4905	4243	4983	4583	286761	302367	335186	353070	155998	152120	21339	15298	9827	7587	321156	341324	41803	41301	301745	292309	139934	147932	83654	80573	27548	27046	81995	80849	11646	14515	13019	11950	349409	368761	314055	337500	48922	42012	269523	269323	17674	18302	11696	9605	19423	20021	14745	15051	290434	271032	14772	9196	10361	11073	5689	7230	6945	7940	205647	211394	346150	363054	324012	343442	76591	74349	15972	15900	58906	56237	11768	12238	51248	53368	6461	6934	373806	379781	55244	44828	16216	12441	13249	13028	16573	16432	147009	148081	8643	8869	18555	21939	79687	79159	191103	196967	262916	255847	13069	9843	195620	214854	16204	18016
9	72.0089		5916	4313	5079	4736	7001	3214	4572	5268	4629	5174	6370	8654	8602	4562	4235	8406	8558	4365	4772	3864	3428	4682	5002	3905	3916	5679	5718	7071	6873	6705	6676	3741	3850	3165	4688	4131	5060	2819	4400	4811	4279	5345	5631	3230	4851	3359	3391	3862	5056	7739	9102	4511	6288	5429	3740	4139	4752	3701	4132	5367	4938	4862	5772	9567	7644	3039	1248	599	402	381	602	1005	53	4195	3886	3528	5134	1885	3617	418	398	167	217	5479	3912	604	612	4292	3456	1994	1999	889	807	53	824	661	1013	539	318	834	522	3516	5870	3393	4430	742	486	2684	3797	539	427	556	719	144	246	625	560	4075	3894	95	397	344	288	139	44	267	33	2749	1517	3882	4675	4580	5132	653	295	394	699	453	1008	413	627	1116	751	252	147	5405	6630	673	377	201	411	808	308	487	338	1817	2063	398	183	486	167	924	1293	2762	3613	3573	3773	572	136	2352	2224	862	276
10	72.0453		9294	7610	10429	11660	9910	8190	6542	10648	10312	5060	4835	1507	1790	7102	8366	1236	2334	5169	6881	9727	9334	5188	7914	9029	9482	12866	12758	1491	1871	2125	2324	10768	12081	7874	8856	4978	6222	7721	8756	5285	6450	7979	10349	10258	9316	8661	8513	6032	4453	1800	1623	10223	11666	7084	6866	12545	12686	8265	9510	12449	13169	7873	8039	1565	2175	1242	913	199	482	746	522	503	425	1166	773	1000	825	239	846	485	625	527	71	646	1365	474	611	890	615	811	610	416	481	213	817	272	798	357	362	583	699	675	1058	775	1258	246	406	476	565	337	323	957	259	494	456	76	190	695	765	115	291	311	235	267	136	427	493	421	415	881	1068	941	1284	224	854	522	172	616	775	256	148	486	238	513	223	1334	711	476	556	690	138	289	43	488	284	616	964	22	155	101	81	258	300	846	397	480	692	196	319	843	912	164	100
