ESL183	ESL184	ESL185	ESL186
3	3	3	3
4	5	8	4
5	8	10	5
8	10	16	8
10	16	17	10
16	17	20	15
17	20	37	16
20	37	43	17
37	39	47	20
39	43	50	39
43	47	53	43
47	50	55	47
50	53	57	50
53	57	79	53
55	79	83	55
57	83	98	57
79	85	112	79
83	98	122	83
86	108	123	85
98	112	130	98
113	113	162	113
122	122	186	122
130	130	188	130
162	162	207	162
183	175	252	183
186	186	255	186
193	188	260	207
207	207	264	228
208	213	265	240
210	224	285	252
213	240	291	255
240	252	297	264
252	255	320	285
255	259	324	291
259	264	343	297
260	285	344	320
264	291	345	324
285	293	348	343
291	294	366	344
297	297	372	345
320	307	379	348
324	320	392	372
343	324	395	379
344	333	398	392
348	337	408	395
366	343	415	408
372	344	417	415
379	345	422	417
392	348	429	422
408	366	430	429
409	371	431	430
422	372	435	431
429	379	443	443
430	381	444	444
435	392	459	449
443	395	467	456
444	398	471	459
449	400	473	467
451	408	499	471
459	411	520	473
467	415	521	493
471	417	526	499
482	422	527	520
493	429	529	527
520	430	540	529
525	431	544	566
527	435	545	602
529	438	556	617
566	443	566	623
582	444	584	625
588	449	585	637
602	451	588	648
617	459	591	NA
637	460	593	NA
648	467	603	NA
NA	471	614	NA
NA	473	617	NA
NA	493	623	NA
NA	499	624	NA
NA	502	625	NA
NA	509	627	NA
NA	525	635	NA
NA	526	637	NA
NA	527	650	NA
NA	529	NA	NA
NA	540	NA	NA
NA	546	NA	NA
NA	566	NA	NA
NA	582	NA	NA
NA	584	NA	NA
NA	588	NA	NA
NA	593	NA	NA
NA	603	NA	NA
NA	614	NA	NA
NA	616	NA	NA
NA	617	NA	NA
NA	623	NA	NA
NA	624	NA	NA
NA	625	NA	NA
NA	629	NA	NA
NA	630	NA	NA
NA	633	NA	NA
NA	637	NA	NA
NA	648	NA	NA
NA	650	NA	NA
NA	656	NA	NA
